Locali,Prezzi,Media prezzo:
"Trilocale buono stato, primo piano, Centocelle, Roma",€ 140.000,0
"Trilocale via dei Pampini, Centocelle, Roma",€ 115.000,0
"Monolocale via Livia Drusilla, Cinecittà, Roma",€ 79.000,0
"Appartamento viale delle Gardenie 30, Centocelle, Roma",€ 445.000,0
"Bilocale via degli Olivi, Centocelle, Roma",€ 149.000,0
"Trilocale buono stato, piano terra, Centocelle, Roma",€ 215.000,0
"Monolocale via Livia Drusilla 33, Cinecittà, Roma",€ 129.000,0
"Trilocale via delle Mimose, Centocelle, Roma",€ 169.000,0
"Trilocale via degli Aceri, Centocelle, Roma",€ 189.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Trilocale via degli Olivi 33, Centocelle, Roma",€ 168.000,0
"Monolocale via dei Castani 136, Centocelle, Roma",€ 140.000,0
"Bilocale via delle Robinie, Centocelle, Roma",€ 305.000,0
"Bilocale via delle Robinie, Centocelle, Roma",€ 205.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Trilocale via dei Glicini 20, Centocelle, Roma",€ 189.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 129.000,0
"Bilocale via Filippo Smaldone, Centocelle, Roma",€ 260.000,0
"Monolocale via delle Acacie 149, Centocelle, Roma",€ 110.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 129.000,0
"Trilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Trilocale ottimo stato, primo piano, Centocelle, Roma",€ 259.000,0
"Bilocale via delle Albizzie, Centocelle, Roma",€ 159.000,0
"Quadrilocale via dei Faggi, Centocelle, Roma",€ 255.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Trilocale via dei Gerani 15, Centocelle, Roma",€ 275.000,0
"Trilocale via delle Robinie, Centocelle, Roma",€ 325.000,0
"Quadrilocale via degli Abeti, Centocelle, Roma",€ 259.000,0
